Stability threshold: 100
# Columns: [Iteration] | [Stability] | 56bit Master Key
# * is not a search object
030 | 018 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
031 | 019 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
032 | 020 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
033 | 021 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
034 | 022 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
035 | 023 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
036 | 024 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
037 | 025 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
038 | 026 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
039 | 027 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
040 | 028 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
041 | 029 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
042 | 030 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
043 | 031 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
044 | 032 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
045 | 033 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
046 | 034 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
047 | 035 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
048 | 036 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
049 | 037 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
050 | 038 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
051 | 039 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
052 | 040 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
053 | 041 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
054 | 042 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
055 | 043 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
056 | 044 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
057 | 045 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
058 | 046 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
059 | 047 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
060 | 048 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
061 | 049 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
062 | 050 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
063 | 051 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
064 | 052 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
065 | 053 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
066 | 054 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
067 | 055 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
068 | 056 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
069 | 057 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
070 | 058 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
071 | 059 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
072 | 060 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
073 | 061 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
074 | 062 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
075 | 063 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
076 | 064 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
077 | 065 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
078 | 066 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
079 | 067 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
080 | 068 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
081 | 069 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
082 | 070 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
083 | 071 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
084 | 072 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
085 | 073 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
086 | 074 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
087 | 075 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
088 | 076 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
089 | 077 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
090 | 078 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
091 | 079 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
092 | 080 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
093 | 081 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
094 | 082 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
095 | 083 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
096 | 084 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
097 | 085 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
098 | 086 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
099 | 087 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
100 | 088 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
101 | 089 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
102 | 090 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
103 | 091 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
104 | 092 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
105 | 093 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
106 | 094 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
107 | 095 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
108 | 096 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
109 | 097 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
110 | 098 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
111 | 099 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
112 | 100 | 0110101_011001*_01**100_01*0101_011*010_*111100_0*10101_0110010
# Answer  | 0110101_0110010_0111100_0110101_0110010_0111100_0110101_0110010
