Stability threshold: 100
# Columns: [Iteration] | [Stability] | R1 [Subkey0] ... [Subkey7] | R16 [Subkey0] ... [Subkey7] 
# ** is not a search object
026 | 011 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
027 | 012 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
028 | 013 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
029 | 014 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
030 | 015 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
031 | 016 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
032 | 017 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
033 | 018 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
034 | 019 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
035 | 020 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
036 | 021 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
037 | 022 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
038 | 023 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
039 | 024 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
040 | 025 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
041 | 026 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
042 | 027 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
043 | 028 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
044 | 029 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
045 | 030 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
046 | 031 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
047 | 032 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
048 | 033 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
049 | 034 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
050 | 035 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
051 | 036 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
052 | 037 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
053 | 038 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
054 | 039 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
055 | 040 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
056 | 041 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
057 | 042 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
058 | 043 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
059 | 044 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
060 | 045 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
061 | 046 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
062 | 047 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
063 | 048 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
064 | 049 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
065 | 050 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
066 | 051 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
067 | 052 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
068 | 053 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
069 | 054 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
070 | 055 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
071 | 056 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
072 | 057 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
073 | 058 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
074 | 059 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
075 | 060 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
076 | 061 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
077 | 062 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
078 | 063 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
079 | 064 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
080 | 065 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
081 | 066 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
082 | 067 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
083 | 068 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
084 | 069 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
085 | 070 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
086 | 071 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
087 | 072 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
088 | 073 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
089 | 074 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
090 | 075 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
091 | 076 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
092 | 077 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
093 | 078 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
094 | 079 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
095 | 080 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
096 | 081 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
097 | 082 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
098 | 083 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
099 | 084 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
100 | 085 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
101 | 086 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
102 | 087 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
103 | 088 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
104 | 089 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
105 | 090 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
106 | 091 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
107 | 092 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
108 | 093 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
109 | 094 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
110 | 095 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
111 | 096 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
112 | 097 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
113 | 098 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
114 | 099 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
115 | 100 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
# Answer  | 56 11 59 38 00 13 25 55 | 60 11 56 46 22 50 16 44 
