Stability threshold: 100
# Columns: [Iteration] | [Stability] | R1 [Subkey0] ... [Subkey7] | R16 [Subkey0] ... [Subkey7] 
# ** is not a search object
063 | 043 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
064 | 044 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
065 | 045 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
066 | 046 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
067 | 047 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
068 | 048 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
069 | 049 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
070 | 050 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
071 | 051 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
072 | 052 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
073 | 053 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
074 | 054 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
075 | 055 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
076 | 056 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
077 | 057 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
078 | 058 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
079 | 059 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
080 | 060 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
081 | 061 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
082 | 062 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
083 | 063 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
084 | 064 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
085 | 065 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
086 | 066 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
087 | 067 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
088 | 068 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
089 | 069 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
090 | 070 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
091 | 071 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
092 | 072 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
093 | 073 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
094 | 074 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
095 | 075 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
096 | 076 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
097 | 077 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
098 | 078 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
099 | 079 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
100 | 080 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
101 | 081 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
102 | 082 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
103 | 083 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
104 | 084 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
105 | 085 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
106 | 086 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
107 | 087 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
108 | 088 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
109 | 089 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
110 | 090 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
111 | 091 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
112 | 092 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
113 | 093 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
114 | 094 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
115 | 095 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
116 | 096 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
117 | 097 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
118 | 098 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
119 | 099 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
120 | 100 | 56 11 59 ** 00 13 25 55 | 60 ** ** 46 22 50 16 44 
# Answer  | 56 11 59 38 00 13 25 55 | 60 11 56 46 22 50 16 44 
