Stability threshold: 100
# Columns: [Iteration] | [Stability] | 56bit Master Key
# * is not a search object
051 | 031 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
052 | 032 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
053 | 033 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
054 | 034 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
055 | 035 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
056 | 036 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
057 | 037 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
058 | 038 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
059 | 039 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
060 | 040 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
061 | 041 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
062 | 042 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
063 | 043 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
064 | 044 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
065 | 045 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
066 | 046 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
067 | 047 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
068 | 048 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
069 | 049 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
070 | 050 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
071 | 051 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
072 | 052 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
073 | 053 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
074 | 054 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
075 | 055 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
076 | 056 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
077 | 057 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
078 | 058 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
079 | 059 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
080 | 060 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
081 | 061 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
082 | 062 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
083 | 063 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
084 | 064 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
085 | 065 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
086 | 066 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
087 | 067 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
088 | 068 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
089 | 069 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
090 | 070 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
091 | 071 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
092 | 072 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
093 | 073 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
094 | 074 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
095 | 075 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
096 | 076 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
097 | 077 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
098 | 078 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
099 | 079 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
100 | 080 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
101 | 081 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
102 | 082 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
103 | 083 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
104 | 084 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
105 | 085 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
106 | 086 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
107 | 087 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
108 | 088 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
109 | 089 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
110 | 090 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
111 | 091 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
112 | 092 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
113 | 093 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
114 | 094 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
115 | 095 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
116 | 096 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
117 | 097 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
118 | 098 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
119 | 099 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
120 | 100 | *110101_01*0010_0111100_01*0101_011*010_*1*1100_0*1*101_0110010
# Answer  | 0110101_0110010_0111100_0110101_0110010_0111100_0110101_0110010
