Stability threshold: 100
# Columns: [Iteration] | [Stability] | R1 [Subkey0] ... [Subkey7] | R16 [Subkey0] ... [Subkey7] 
# ** is not a search object
075 | 063 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
076 | 064 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
077 | 065 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
078 | 066 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
079 | 067 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
080 | 068 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
081 | 069 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
082 | 070 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
083 | 071 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
084 | 072 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
085 | 073 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
086 | 074 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
087 | 075 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
088 | 076 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
089 | 077 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
090 | 078 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
091 | 079 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
092 | 080 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
093 | 081 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
094 | 082 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
095 | 083 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
096 | 084 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
097 | 085 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
098 | 086 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
099 | 087 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
100 | 088 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
101 | 089 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
102 | 090 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
103 | 091 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
104 | 092 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
105 | 093 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
106 | 094 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
107 | 095 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
108 | 096 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
109 | 097 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
110 | 098 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
111 | 099 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
112 | 100 | 56 ** 59 ** 00 13 ** 55 | 60 ** 56 46 22 50 16 44 
# Answer  | 56 11 59 38 00 13 25 55 | 60 11 56 46 22 50 16 44 
